name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
mendrisio,2023-07-18T00:00:00,24.6,24.6,20.9,79.53,0,0,,0,0,6.8,3.3,293,1017.9,0,10,0,0,0,30,Clear,clear-night,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-18T01:00:00,24.3,24.3,20.2,78.16,0,0,,0,0,6.8,4.7,259,1017.9,0,10,0,0,0,8,Clear,clear-night,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-18T02:00:00,23.5,23.5,20.8,84.93,0,0,,0,0,9.4,3.3,331,1017.9,0,10,0,0,0,8,Clear,clear-night,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-18T03:00:00,22.5,22.5,20.8,89.99,0,0,,0,0,10.8,3.2,360,1017.9,7.9,10,0,0,0,5,Clear,clear-night,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-18T04:00:00,21.6,21.6,20.1,91.13,0,0,,0,0,11.2,2.9,338,1017.8,3.1,10,0,0,0,5,Clear,clear-night,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-18T05:00:00,21.4,21.4,19.9,91.41,0,0,,0,0,10.8,3.5,1,1017.8,0,10,0,0,0,5,Clear,clear-night,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-18T06:00:00,20.6,20.6,20,95.88,0,0,,0,0,11.5,3.6,10,1017.9,0,10,11,0,0,10,Clear,clear-day,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-18T07:00:00,21.4,21.4,20,91.94,0,0,,0,0,11.5,2.1,6,1018.7,0,10,107,0.4,1,10,Clear,clear-day,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-18T08:00:00,23,23,20.7,86.59,0,0,,0,0,6.8,2.7,30,1018.8,0,10,262,0.9,3,5,Clear,clear-day,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-18T09:00:00,25.4,25.4,20.7,74.99,0,0,,0,0,6.5,4,3,1019.6,0,10,418,1.5,4,5,Clear,clear-day,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-18T10:00:00,27.4,29.3,20.9,67.77,0,0,,0,0,11.2,3.9,46,1018.9,0,10,564,2,6,15,Clear,clear-day,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-18T11:00:00,28.4,30.5,20.8,63.57,0,0,,0,0,15.8,5.7,180,1018.9,25,10,679,2.4,7,8,Partially cloudy,partly-cloudy-day,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-18T12:00:00,29.7,32.1,20.9,59.32,0,0,,0,0,19.1,4.8,214,1018.8,25,10,752,2.7,8,60,Partially cloudy,partly-cloudy-day,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-18T13:00:00,30.5,33.7,21.7,59.51,0,0,,0,0,23,8.3,191,1017.9,35.4,10,425,1.5,4,60,Partially cloudy,partly-cloudy-day,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-18T14:00:00,30.7,34,21.8,58.91,0,0,,0,0,19.1,10.4,193,1017.6,28.4,10,874,3.1,9,60,Partially cloudy,partly-cloudy-day,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-18T15:00:00,30.1,33.2,21.7,60.94,0,0,,0,0,19.1,11.7,191,1016.1,52.8,10,304,1.1,3,60,Partially cloudy,partly-cloudy-day,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-18T16:00:00,30.9,35,22.6,61.3,0,0,,0,0,19.1,9.1,198,1016.6,50,10,158,0.6,2,60,Partially cloudy,partly-cloudy-day,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-18T17:00:00,29.7,33.2,22.5,65.28,0,0,,0,0,19.4,4.8,50,1016.6,46.6,8.1,188,0.7,2,60,Partially cloudy,partly-cloudy-day,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-18T18:00:00,31.1,34.7,22.1,58.84,0,0,,0,0,16.6,8.6,290,1015.6,40.6,10,330,1.2,3,60,Partially cloudy,partly-cloudy-day,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-18T19:00:00,30.4,34.5,22.7,63.45,0,0,,0,0,14.8,10.3,29,1015.6,0,10,97,0.3,1,75,Clear,clear-day,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-18T20:00:00,28.8,32.3,22.9,70.58,0,0,,0,0,5.8,3.6,346,1015.6,28.5,10,33,0.1,0,75,Partially cloudy,partly-cloudy-day,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-18T21:00:00,28.3,31.6,22.9,72.44,0,0,,0,0,6.8,6.9,133,1014.9,7.9,10,0,0,0,15,Clear,clear-day,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-18T22:00:00,26.3,26.3,23.6,85.15,0,0,,0,0,5,5.1,59,1015.7,4.8,7.5,0,0,0,15,Clear,clear-night,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-18T23:00:00,25.5,25.5,22.1,81.38,0,0,,0,0,6.1,7.8,1,1016.6,28.5,10,0,0,0,5,Partially cloudy,partly-cloudy-night,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-19T00:00:00,25.3,25.3,22.1,82.55,0,0,,0,0,7.6,5.5,349,1016.7,47.2,10,0,0,0,5,Partially cloudy,partly-cloudy-night,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-19T01:00:00,24.9,24.9,23.4,91.35,0,0,,0,0,7.2,5.8,291,1015.9,70.9,10,0,0,0,15,Partially cloudy,partly-cloudy-night,"LIMC,LIME,C7783,LSZL,LSZA,LIML"
mendrisio,2023-07-19T02:00:00,24.4,24.4,23.5,94.86,0,0,,0,0,7.9,5.4,50,1015.8,29.5,8.7,0,0,0,15,Partially cloudy,partly-cloudy-night,"LIMC,LIME,C7783,LSZL,LSZA"
